name,carrier,type,bus,p_nom,p_max_pu,p_min_pu
Non-networked Electrolysis: Grain LNG,Hydrogen,Non-networked Electrolysis,Grain LNG,0,1,0
Non-networked Electrolysis: Southampton,Hydrogen,Non-networked Electrolysis,Southampton,0,1,0
Non-networked Electrolysis: South Wales,Hydrogen,Non-networked Electrolysis,South Wales,184.6015436,1,0
Nuclear Electrolysis: St Fergus,Hydrogen,Nuclear Electrolysis,St Fergus,0,1,1
Nuclear Electrolysis: Grangemouth,Hydrogen,Nuclear Electrolysis,Grangemouth,0,1,1
Nuclear Electrolysis: Teesside,Hydrogen,Nuclear Electrolysis,Teesside,0,1,1
Nuclear Electrolysis: Humberside,Hydrogen,Nuclear Electrolysis,Humberside,0,1,1
Nuclear Electrolysis: Theddlethorpe,Hydrogen,Nuclear Electrolysis,Theddlethorpe,0,1,1
Nuclear Electrolysis: Merseyside,Hydrogen,Nuclear Electrolysis,Merseyside,228.3105023,1,1
Nuclear Electrolysis: Barrow,Hydrogen,Nuclear Electrolysis,Barrow,0,1,1
Nuclear Electrolysis: Bacton,Hydrogen,Nuclear Electrolysis,Bacton,228.3105023,1,1
Nuclear Electrolysis: Grain LNG,Hydrogen,Nuclear Electrolysis,Grain LNG,228.3105023,1,1
Nuclear Electrolysis: Southampton,Hydrogen,Nuclear Electrolysis,Southampton,0,1,1
Nuclear Electrolysis: South Wales,Hydrogen,Nuclear Electrolysis,South Wales,228.3105023,1,1
Methane Reformation with CCUS: St Fergus,Hydrogen,Methane Reformation with CCUS,St Fergus,0,1,1
Methane Reformation with CCUS: Grangemouth,Hydrogen,Methane Reformation with CCUS,Grangemouth,142.266425,1,1
Methane Reformation with CCUS: Teesside,Hydrogen,Methane Reformation with CCUS,Teesside,0,1,1
Methane Reformation with CCUS: Humberside,Hydrogen,Methane Reformation with CCUS,Humberside,0,1,1
Methane Reformation with CCUS: Theddlethorpe,Hydrogen,Methane Reformation with CCUS,Theddlethorpe,0,1,1
Methane Reformation with CCUS: Merseyside,Hydrogen,Methane Reformation with CCUS,Merseyside,0,1,1
Methane Reformation with CCUS: Barrow,Hydrogen,Methane Reformation with CCUS,Barrow,0,1,1
Methane Reformation with CCUS: Bacton,Hydrogen,Methane Reformation with CCUS,Bacton,0,1,1
Methane Reformation with CCUS: Grain LNG,Hydrogen,Methane Reformation with CCUS,Grain LNG,0,1,1
Methane Reformation with CCUS: Southampton,Hydrogen,Methane Reformation with CCUS,Southampton,0,1,1
Methane Reformation with CCUS: South Wales,Hydrogen,Methane Reformation with CCUS,South Wales,0,1,1
